"id","name","zipcode","latitude","longitude","state_id/id"
"fr_city_08189","BADEFOLS SUR DORDOGNE","24150","44.8391204649","0.800580246575","cap_contact.fr_departement_24"
"fr_city_08190","BANEUIL","24150","44.8529470727","0.69340604246","cap_contact.fr_departement_24"
"fr_city_08191","BARDOU","24560","44.7409359131","0.686088955421","cap_contact.fr_departement_24"
"fr_city_08192","BARS","24210","45.0948929916","1.05073972207","cap_contact.fr_departement_24"
"fr_city_08193","BASSILLAC","24330","45.1789592433","0.820956969026","cap_contact.fr_departement_24"
"fr_city_08194","BAYAC","24150","44.8047466213","0.7227976753","cap_contact.fr_departement_24"
"fr_city_08195","BEAUMONTOIS EN PERIGORD","24440","44.773801258","0.75409629331","cap_contact.fr_departement_24"
"fr_city_08196","BEAUPOUYET","24400","44.9961149734","0.285254464127","cap_contact.fr_departement_24"
"fr_city_08197","BEAUREGARD DE TERRASSON","24120","45.1558279291","1.22862494284","cap_contact.fr_departement_24"
"fr_city_08198","BEAUREGARD ET BASSAC","24140","44.9936188028","0.632602848395","cap_contact.fr_departement_24"
"fr_city_08199","BEAURONNE","24400","45.1003503966","0.363141785914","cap_contact.fr_departement_24"
"fr_city_08200","BEAUSSAC","24340","45.509706302","0.482040858745","cap_contact.fr_departement_24"
"fr_city_08201","BELEYMAS","24140","44.9869120353","0.491344255346","cap_contact.fr_departement_24"
"fr_city_08202","PAYS DE BELVES","24170","44.7462034463","0.980486487157","cap_contact.fr_departement_24"
"fr_city_08203","BERBIGUIERES","24220","44.8394794581","1.04517998895","cap_contact.fr_departement_24"
"fr_city_08204","BERGERAC","24100","44.8543751872","0.486529423457","cap_contact.fr_departement_24"
"fr_city_08205","BERTRIC BUREE","24320","45.309051457","0.354531985356","cap_contact.fr_departement_24"
"fr_city_08206","BESSE","24550","44.6649913736","1.11317333778","cap_contact.fr_departement_24"
"fr_city_08207","BEYNAC ET CAZENAC","24220","44.8572702356","1.13222078955","cap_contact.fr_departement_24"
"fr_city_08208","BEZENAC","24220","44.8475673485","1.08633675361","cap_contact.fr_departement_24"
"fr_city_08209","BIRAS","24310","45.2868677633","0.638949936557","cap_contact.fr_departement_24"
"fr_city_08210","BIRON","24540","44.6225958112","0.874123602504","cap_contact.fr_departement_24"
"fr_city_08211","BLIS ET BORN","24330","45.1694612818","0.908122714829","cap_contact.fr_departement_24"
"fr_city_08212","BOISSE","24560","44.7162436565","0.656505019107","cap_contact.fr_departement_24"
"fr_city_08213","BOISSEUILH","24390","45.2814362613","1.17805421579","cap_contact.fr_departement_24"
"fr_city_08214","LA BOISSIERE D ANS","24640","45.2320869292","0.973794251496","cap_contact.fr_departement_24"
"fr_city_08215","BONNEVILLE ET ST AVIT DE FUMADIERES","24230","44.8838960782","0.0812094359486","cap_contact.fr_departement_24"
"fr_city_08216","BORREZE","24590","44.9746545829","1.39100783698","cap_contact.fr_departement_24"
"fr_city_08217","BOSSET","24130","44.9518343801","0.362233138174","cap_contact.fr_departement_24"
"fr_city_08218","BOUILLAC","24480","44.7652428032","0.920412186744","cap_contact.fr_departement_24"
"fr_city_08219","BOULAZAC ISLE MANOIRE","24330","45.1737726952","0.769368950586","cap_contact.fr_departement_24"
"fr_city_08220","BOULAZAC ISLE MANOIRE","24750","45.1737726952","0.769368950586","cap_contact.fr_departement_24"
"fr_city_08221","BOUNIAGUES","24560","44.7568266794","0.5279714145","cap_contact.fr_departement_24"
"fr_city_08222","BOURDEILLES","24310","45.3187110964","0.581100424712","cap_contact.fr_departement_24"
"fr_city_08223","LE BOURDEIX","24300","45.5790760433","0.635522742578","cap_contact.fr_departement_24"
"fr_city_08224","BOURG DES MAISONS","24320","45.3372753112","0.434494589359","cap_contact.fr_departement_24"
"fr_city_08225","BOURG DU BOST","24600","45.2670647024","0.263235867564","cap_contact.fr_departement_24"
"fr_city_08226","BOURGNAC","24400","45.0173532557","0.397961446009","cap_contact.fr_departement_24"
"fr_city_08227","BOURNIQUEL","24150","44.8081327137","0.770438206217","cap_contact.fr_departement_24"
"fr_city_08228","BOURROU","24110","45.0481265841","0.604278043651","cap_contact.fr_departement_24"
"fr_city_08229","BOUTEILLES ST SEBASTIEN","24320","45.3484141889","0.289312148374","cap_contact.fr_departement_24"
"fr_city_08230","BOUZIC","24250","44.7210017816","1.21718976678","cap_contact.fr_departement_24"
"fr_city_08231","BRANTOME EN PERIGORD","24310","45.360114867","0.65590360604","cap_contact.fr_departement_24"
"fr_city_08232","BREUILH","24380","45.057656809","0.75290475531","cap_contact.fr_departement_24"
"fr_city_08233","BROUCHAUD","24210","45.2049887022","0.997159768342","cap_contact.fr_departement_24"
"fr_city_08234","LE BUGUE","24260","44.9264427991","0.924662888033","cap_contact.fr_departement_24"
"fr_city_08235","LE BUISSON DE CADOUIN","24480","44.8209697046","0.890058168742","cap_contact.fr_departement_24"
"fr_city_08236","BUSSAC","24350","45.266644062","0.602717592385","cap_contact.fr_departement_24"
"fr_city_08237","BUSSEROLLES","24360","45.6716660842","0.646120502455","cap_contact.fr_departement_24"
"fr_city_08238","BUSSIERE BADIL","24360","45.6446204602","0.601830504987","cap_contact.fr_departement_24"
"fr_city_08239","CALES","24150","44.8631926385","0.815037014409","cap_contact.fr_departement_24"
"fr_city_08240","CALVIAC EN PERIGORD","24370","44.8610771393","1.32210433458","cap_contact.fr_departement_24"
"fr_city_08241","CAMPAGNAC LES QUERCY","24550","44.6954132053","1.17519301119","cap_contact.fr_departement_24"
"fr_city_08242","CAMPAGNE","24260","44.8978505909","0.977579666373","cap_contact.fr_departement_24"
"fr_city_08243","CAMPSEGRET","24140","44.9423167258","0.567665908192","cap_contact.fr_departement_24"
"fr_city_08244","CANTILLAC","24530","45.4000368216","0.643672265068","cap_contact.fr_departement_24"
"fr_city_08245","CAPDROT","24540","44.6788316075","0.945174141112","cap_contact.fr_departement_24"
"fr_city_08246","CARLUX","24370","44.8869300675","1.35986365521","cap_contact.fr_departement_24"
"fr_city_08247","CARSAC AILLAC","24200","44.8504427417","1.27427497558","cap_contact.fr_departement_24"
"fr_city_08248","CARSAC DE GURSON","24610","44.9404735859","0.0946785961046","cap_contact.fr_departement_24"
"fr_city_08249","CARVES","24170","44.7854908288","1.06057699804","cap_contact.fr_departement_24"
"fr_city_08250","LA CASSAGNE","24120","45.0565548056","1.30647398924","cap_contact.fr_departement_24"
"fr_city_08251","CASTELNAUD LA CHAPELLE","24250","44.8017266303","1.13058711758","cap_contact.fr_departement_24"
"fr_city_08252","CASTELS","24220","44.8705381917","1.08038180095","cap_contact.fr_departement_24"
"fr_city_08253","CAUSE DE CLERANS","24150","44.8732898421","0.672743624139","cap_contact.fr_departement_24"
"fr_city_08254","CAZOULES","24370","44.882273616","1.42894748653","cap_contact.fr_departement_24"
"fr_city_08255","CELLES","24600","45.2925292578","0.412424261019","cap_contact.fr_departement_24"
"fr_city_08256","CENAC ET ST JULIEN","24250","44.7868370138","1.20346249044","cap_contact.fr_departement_24"
"fr_city_08257","CENDRIEUX","24380","44.9992323824","0.826953355328","cap_contact.fr_departement_24"
"fr_city_08258","CERCLES","24320","45.367110589","0.469505189702","cap_contact.fr_departement_24"
"fr_city_08259","CHALAGNAC","24380","45.0928504071","0.680786253441","cap_contact.fr_departement_24"
"fr_city_08260","CHALAIS","24800","45.5032613972","0.940330298311","cap_contact.fr_departement_24"
"fr_city_08261","CHAMPAGNAC DE BELAIR","24530","45.400469208","0.69507098451","cap_contact.fr_departement_24"
